Park,Day_type,Class,Exp_fact
51,1,1,14
51,1,2,4
51,1,3,120
51,2,1,10
51,2,2,8
51,2,3,120
52,1,1,6
52,1,2,8
52,1,3,4
52,2,1,6
52,2,2,7
52,2,3,3
53,1,1,1
53,1,2,5
53,1,3,18
53,2,1,3
53,2,2,0
53,2,3,21
55,1,1,5
55,1,2,30
55,1,3,37
55,2,1,4
55,2,2,24
55,2,3,44
56,1,1,6
56,1,2,27
56,1,3,51
56,2,1,11
56,2,2,23
56,2,3,48
58,1,1,6
58,1,2,16
58,1,3,26
58,2,1,3
58,2,2,3
58,2,3,42
59,1,1,3
59,1,2,5
59,1,3,16
59,2,1,3
59,2,2,4
59,2,3,17
61,1,1,6
61,1,2,5
61,1,3,31
61,2,1,5
61,2,2,5
61,2,3,32
98,1,1,0
98,1,2,7
98,1,3,11
98,2,1,2
98,2,2,6
98,2,3,10
99,1,1,5
99,1,2,1
99,1,3,12
99,2,1,1
99,2,2,5
99,2,3,12
